NAID,Q5. Example 1: Types of decisions [Organization] needs to improve,acode1,acode2,acode3,acode4,acode5,acode6,acode7,acode8,acode9,acode10
10001168,"Prior to joining CFA as and employee, I supported the organization as a consultant.  There were times when I saw individual leaders make expensive choices that were drive by individual preference rather than by good stewardship (optimizing RIO, good financial management).   I would love the organization to have a more serious discussion about what good stewardship looks like from a financial management standpoint.",98,,,,,,,,,
10001169,"Any decision where a ""D"" is given but then changed by any staff member further up the Organization. It leads to additional time and lower effectiveness.",98,,,,,,,,,
10001170,"Service level decisions. We still can't shake the 'platinum expectation' where EVERYTHING needs to be premium (e.g. Organizational Work Management System). Often, good enough actually is good enough",98,,,,,,,,,
10001171,Junior-level decisions where there's a feeling of not being able to move forward on low-impact decisions without leadership approval (when leadership has empowered them to make the decision and move forward),34,22,,,,,,,,
10001172,Promotions that allow for process input and judgment input.,3,,,,,,,,,
10001173,Structure,5,,,,,,,,,
10001174,"We need to improve decisions that help us strategically prioritize or sequence work.  We put way more work in the system than we can appropriately execute or absorb, and this is driven mostly by a reluctance to prioritize or narrow choices.  It is very hard for the EC to say ""this comes before that"". This is not intended as a criticism of the EC--it feels less like an unwillingness to prioritize and more like something they don't know how to do. If they knew how to do this, I feel sure they would have led themselves to that place already.  We have valued the EC and officers for production and execution, and we are just now starting to value them for strategy.  I think this will take time.",4,71,,,,,,,,
10001175,Pursuit of capacity solutions vs. adjusting strategy (high volume restaurants),53,58,54,,,,,,,
10001176,"What personal characteristics are deemed to be a ""fit""",98,,,,,,,,,
10001177,"Multi-Restaurant, Relo, Additional Opportunity Operator - significant drag and friction in these practices today.",53,,,,,,,,,
10001178,Process implementation and new systems with I.T. - add some basic training requirements.,6,17,,,,,,,,
10001179,Decisions with multiple stakeholders,98,,,,,,,,,
10001180,Decisions where you are forced to make choice that means you are actively choosing not to do something else,98,,,,,,,,,
10001181,REF,99,,,,,,,,,
10001182,"low hanging fruit- we over think it then run it up the chain of command; need to act quicker, fail faster",13,,,,,,,,,
10001183,Staff Selection: We are hiring new staff at a rapid rate as an organization. We need to make sure we are taking the time to vet candidates so that we are confident Chick-fil-A is the right fit for them.,2,13,,,,,,,,
10001184,Too Frequent Organizational alignments,18,,,,,,,,,
10001185,We need more support to hold our people accountable.  Unfortunately we have some Staff who need to be transitioned out of the business for poor performance.  It seems the People Leader is more under the microscope than the Staff member.  Our Staff know this and makes it hard to manage a poor performer.,27,,,,,,,,,
10001186,Ability to pivot quickly.,13,,,,,,,,,
10001187,Not out growing our culture.,7,54,,,,,,,,
10001188,REF,99,,,,,,,,,
10001190,I am struggling to come up with a need to improve. I think CFA has identified the need to improve in regards to DE&I and have put many key stakeholders in a role to support this effort. It is appreciated.,98,,,,,,,,,
10001192,Lower leadership,70,,,,,,,,,
10001200,REF,99,,,,,,,,,
10001202,Providing an opportunity or path for career change within CFA.,3,,,,,,,,,
10001203,REF,99,,,,,,,,,
10001204,Continue to make staff understand the importance of our Operators to our business and that we are here to serve them.,53,,,,,,,,,
10001205,Performance Management,27,,,,,,,,,
10001206,"Need to re-evaluate the hierarchical structure.  SLOWS the process of moving projects forward by a frustrating degree.  Decisions made in mid- stream to separate supporting departments to service different parts of the business.  Ex. Operators and staff: Expertise is moved out of reach for one or the other ""customer"".  Departments are divided up to serve different parts of the business and experts are pigeon holed to one part of the business with limited or no cross over.   Cost time and MONEY and puts a high degree of risk for making the deadline when the project which has been in production for over a year has to WAIT until appropriate staff are hired and trained appropriately.   Contracts are in place and Vendor partners are well aware that CFA looks disorganized and uncaring about contractual commitments.   Not to mentioned the stress it puts on the project lead and department trying to fill in the gaps to keep the project moving forward.",5,53,52,13,36,,,,,
10001207,Improve the Registration system used by Guests visiting the Support Center for Tours.,98,,,,,,,,,
10001208,REF,99,,,,,,,,,
10001210,REF,99,,,,,,,,,
10001212,"communication -- we do well at sharing info in some areas, but not in others; every department needs to be held to the same expectations of who to ask/tell/etc.",52,8,,,,,,,,
10001213,REF,99,,,,,,,,,
10001214,To be careful not to compromise our core values and corporate purpose statement by following man's ways or a liberal culture.,7,,,,,,,,,
10001215,REF,99,,,,,,,,,
10001216,i can't think of any right now.  I am mostly thinking about what has happened during the pandemic.  Chick-fil-A has always followed the guidelines of the Center for Disease control.  I think this is a best decision.,98,,,,,,,,,
10001219,DEI is a great entity; need more diverse Leadership,70,69,,,,,,,,
10001223,People additudes,98,,,,,,,,,
10001225,Some departments are understaffed and it?s hard on the employees that are left.,98,,,,,,,,,
10001228,"This is hard to say, but CFA has a tough time releasing people who are constantly causing issues for other team members.",53,,,,,,,,,
10001229,Lower to middle management make decisions that do not support the culture of CFA.,7,,,,,,,,,
10001231,REF,99,,,,,,,,,
10001234,Lower level decisions (departmental). Hiring the best fit candidate for roles.,2,52,,,,,,,,
10001235,Middle management decision processes,98,,,,,,,,,
10001236,Talent- hiring,2,,,,,,,,,
10001237,"Not sure this is across the business but in my area, too many decision makers can change the project, cause delays, and increase work.",98,,,,,,,,,
10001239,N/A,99,,,,,,,,,
10001240,REF,99,,,,,,,,,
10001241,I wish there was a way Chick-fil-A could provide better response times overall.,98,,,,,,,,,
10001242,REF,99,,,,,,,,,
